GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,H005001,H005001.2000,H005002,H005002.2000,H005003,H005003.2000,H005004,H005004.2000,H005005,H005005.2000,H005006,H005006.2000,H005007,H005007.2000,H005008,H005008.2000
47091,050,47,091,99999,999,,,Johnson County,18244,8956,17499,7879,1761,1052,155,130,26,,131,99,49,,603,368,4,5,793,397
47093,050,47,093,28940,314,,,Knox County,432226,194949,382032,171439,17700,13567,6777,5829,287,,3747,2653,816,,1048,586,5,2,5020,3409
47095,050,47,095,99999,999,,,Lake County,7832,2598,7954,2716,328,306,106,93,7,,34,26,6,,83,94,0,6,92,72
47097,050,47,097,99999,999,,,Lauderdale County,27815,11256,27101,10563,1461,996,516,304,15,,223,91,40,,241,253,12,10,414,247
47099,050,47,099,29980,999,,,Lawrence County,41869,18177,39926,16821,1902,1341,429,402,25,,238,249,114,,230,102,0,1,866,435
47101,050,47,101,99999,999,,,Lewis County,12161,5470,11367,4821,689,440,108,104,9,,79,107,44,,144,49,0,0,305,140
47103,050,47,103,99999,999,,,Lincoln County,33361,15241,31340,13999,1859,1496,320,299,22,,239,173,101,,267,205,4,3,906,649
47105,050,47,105,28940,314,,,Loudon County,48556,21725,39086,17277,1899,1333,360,331,26,,431,238,93,,373,199,0,3,616,355
47107,050,47,107,11940,174,,,McMinn County,52266,23341,49015,21626,2476,1905,568,572,33,,447,340,141,,220,120,1,2,1066,778
47109,050,47,109,99999,999,,,McNairy County,26075,11933,24653,11219,1607,1239,246,273,10,,195,184,51,,233,166,1,1,871,490
47111,050,47,111,34980,400,,,Macon County,22248,9861,20386,8894,1300,978,362,242,11,,179,132,53,,108,115,11,8,576,414
47113,050,47,113,27180,297,,,Madison County,98294,41877,91837,38205,3804,2653,1555,1164,54,,663,409,111,,195,157,2,6,1224,692
47115,050,47,115,16860,174,,,Marion County,28237,12954,27776,12140,1551,1103,395,278,22,,178,148,56,,355,231,1,0,544,370
47117,050,47,117,30280,999,,,Marshall County,30617,13119,26767,11181,1269,874,344,229,23,,222,178,46,,89,82,6,3,539,330
47119,050,47,119,17940,400,,,Maury County,80956,35254,69498,28674,3591,2230,1279,871,37,,715,414,98,,216,127,1,0,1245,661
47121,050,47,121,99999,999,,,Meigs County,11753,5628,11086,5188,942,884,103,66,5,,103,51,27,,476,497,3,0,225,214
47123,050,47,123,99999,999,,,Monroe County,44519,20787,38961,17287,3076,1958,568,367,29,,368,227,119,,849,655,1,2,1142,632
47125,050,47,125,17300,999,,,Montgomery County,172331,70098,134768,52167,6425,3837,3222,1380,113,,1357,847,193,,254,122,14,18,1272,1214
47127,050,47,127,46100,999,,,Moore County,6362,2915,5740,2515,423,304,28,29,5,,33,26,7,,179,77,1,0,170,155
47129,050,47,129,99999,999,,,Morgan County,21987,8920,19757,7714,1228,724,171,129,14,,139,80,81,,252,149,0,0,571,270
47131,050,47,131,46460,542,,,Obion County,31807,14659,32450,14489,1582,1307,486,470,28,,192,164,84,,218,175,1,8,573,426
47133,050,47,133,18260,999,,,Overton County,22083,10295,20118,9168,1475,1058,184,191,20,,104,129,41,,319,166,1,0,806,515
47135,050,47,135,99999,999,,,Perry County,7915,4599,7631,4115,1439,1092,60,56,4,,73,54,15,,887,677,0,0,400,225
47137,050,47,137,99999,999,,,Pickett County,5077,3462,4945,2956,1285,865,130,40,11,,69,19,11,,818,617,0,0,246,167
47139,050,47,139,17420,174,,,Polk County,16825,7991,16050,7369,1338,921,207,121,25,,130,76,30,,481,290,0,2,465,361
47141,050,47,141,18260,999,,,Putnam County,72321,31882,62315,26916,2952,2051,1047,719,34,,404,358,117,,302,170,12,1,1036,689
47143,050,47,143,99999,999,,,Rhea County,31809,14365,28400,12565,2089,1381,441,279,23,,239,165,52,,593,411,7,3,734,420
47145,050,47,145,25340,314,,,Roane County,54181,25716,51910,23369,3340,2169,760,717,29,,419,287,117,,611,433,11,1,1393,483
47147,050,47,147,34980,400,,,Robertson County,66283,26086,54433,20995,1889,1089,608,234,40,,379,210,120,,120,70,24,14,598,461
47149,050,47,149,34980,400,,,Rutherford County,262604,102968,182023,70616,6736,4173,3090,1961,88,,1515,977,244,,362,178,1,18,1436,728
47151,050,47,151,99999,999,,,Scott County,22228,9910,21127,8909,1239,706,211,151,11,,88,74,40,,235,145,0,0,654,272
47153,050,47,153,16860,174,,,Sequatchie County,14112,6368,11370,4916,849,453,201,90,19,,121,84,64,,191,73,0,1,253,185
47155,050,47,155,42940,314,,,Sevier County,89889,55918,71170,37252,20575,8785,1932,1574,54,,1015,418,229,,15624,5639,4,14,1717,876
47157,050,47,157,32820,999,,,Shelby County,927644,398274,897472,362954,47303,24588,24824,11260,701,,6099,4063,878,,1182,1067,7,17,13612,6585
