GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P035001,P035001.2000
47157,050,47,157,32820,999,,,Shelby County,927644,398274,897472,362954,231407,228644
47159,050,47,159,34980,400,,,Smith County,19166,8529,17712,7665,5312,5070
47161,050,47,161,17300,999,,,Stewart County,13324,6778,12370,5977,3793,3652
47163,050,47,163,28700,304,,,Sullivan County,156823,73760,153048,69052,44369,44802
47165,050,47,165,34980,400,,,Sumner County,160645,65968,130449,51657,44593,37054
47167,050,47,167,32820,999,,,Tipton County,61081,23199,51271,19064,16562,14173
47169,050,47,169,34980,400,,,Trousdale County,7870,3368,7259,3095,2136,2036
47171,050,47,171,27740,304,,,Unicoi County,18313,8830,17667,8214,5211,5222
47173,050,47,173,28940,314,,,Union County,19109,8958,17808,7916,5397,5194
47175,050,47,175,99999,999,,,Van Buren County,5548,2663,5508,2453,1616,1620
47177,050,47,177,32660,999,,,Warren County,39839,17821,38276,16689,10891,10821
47179,050,47,179,27740,304,,,Washington County,122979,57254,107198,47779,32319,29466
47181,050,47,181,99999,999,,,Wayne County,17021,7287,16842,6701,4303,4324
47183,050,47,183,32280,542,,,Weakley County,35021,15495,34895,14928,8836,9125
47185,050,47,185,99999,999,,,White County,25841,11511,23102,10191,7266,6771
47187,050,47,187,34980,400,,,Williamson County,183182,68498,126638,47005,51242,35758
47189,050,47,189,34980,400,,,Wilson County,113993,45568,88809,34921,32177,25595
