GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P050001,P050001.2000,P050002,P050002.2000,P050003,P050003.2000
47137,050,47,137,99999,999,,,Pickett County,5077,3462,4945,2956,4981,,59,,4922,
47139,050,47,139,17420,174,,,Polk County,16825,7991,16050,7369,16440,,319,,16121,
47141,050,47,141,18260,999,,,Putnam County,72321,31882,62315,26916,67735,,886,,66849,
47143,050,47,143,99999,999,,,Rhea County,31809,14365,28400,12565,29748,,432,,29316,
47145,050,47,145,25340,314,,,Roane County,54181,25716,51910,23369,52831,,698,,52133,
47147,050,47,147,34980,400,,,Robertson County,66283,26086,54433,20995,64979,,1067,,63912,
47149,050,47,149,34980,400,,,Rutherford County,262604,102968,182023,70616,249956,,3804,,246152,
47151,050,47,151,99999,999,,,Scott County,22228,9910,21127,8909,21549,,288,,21261,
47153,050,47,153,16860,174,,,Sequatchie County,14112,6368,11370,4916,13723,,203,,13520,
47155,050,47,155,42940,314,,,Sevier County,89889,55918,71170,37252,87729,,1216,,86513,
47157,050,47,157,32820,999,,,Shelby County,927644,398274,897472,362954,874775,,20357,,854418,
47159,050,47,159,34980,400,,,Smith County,19166,8529,17712,7665,18686,,197,,18489,
47161,050,47,161,17300,999,,,Stewart County,13324,6778,12370,5977,13037,,181,,12856,
47163,050,47,163,28700,304,,,Sullivan County,156823,73760,153048,69052,152374,,1682,,150692,
47165,050,47,165,34980,400,,,Sumner County,160645,65968,130449,51657,156925,,2067,,154858,
47167,050,47,167,32820,999,,,Tipton County,61081,23199,51271,19064,58811,,848,,57963,
47169,050,47,169,34980,400,,,Trousdale County,7870,3368,7259,3095,7694,,83,,7611,
47171,050,47,171,27740,304,,,Unicoi County,18313,8830,17667,8214,17525,,267,,17258,
47173,050,47,173,28940,314,,,Union County,19109,8958,17808,7916,18455,,262,,18193,
47175,050,47,175,99999,999,,,Van Buren County,5548,2663,5508,2453,5376,,87,,5289,
47177,050,47,177,32660,999,,,Warren County,39839,17821,38276,16689,38562,,527,,38035,
47179,050,47,179,27740,304,,,Washington County,122979,57254,107198,47779,116119,,1222,,114897,
47181,050,47,181,99999,999,,,Wayne County,17021,7287,16842,6701,14669,,183,,14486,
47183,050,47,183,32280,542,,,Weakley County,35021,15495,34895,14928,31976,,380,,31596,
47185,050,47,185,99999,999,,,White County,25841,11511,23102,10191,25127,,292,,24835,
47187,050,47,187,34980,400,,,Williamson County,183182,68498,126638,47005,178904,,1973,,176931,
47189,050,47,189,34980,400,,,Wilson County,113993,45568,88809,34921,110609,,1356,,109253,
